title,description,employer,location,job_url,tags,featured
Blade Engineer,"Join Goldwind as a Blade Engineer in Ho Chi Minh City, Vietnam.",Goldwind,"Ho Chi Minh City, Vietnam",https://rejobs.org/en/renewable-energy-jobs/104198-blade-engineer-goldwind,Blade Maintenance | Offshore Wind Energy | Onshore Wind Energy | Wind Farms | Wind O&M | Wind Turbine Technician,False
"Assistant Manager / Manager, Group Corporate & Strategy (m/w/d)","Join Sembcorp Industries as Assistant Manager/Manager in Singapore, driving energy transition.",Sembcorp Industries,Singapore,https://rejobs.org/en/renewable-energy-jobs/105090-assistant-manager-manager-group-corporate-strategy-mwd-sembcorp-industries,Business Development | Energy Policy | Project Management | Energy Governance | Stakeholder Management,False
Venue Sales Representative,Join Octopus Energy as a Venue Sales Representative in Glasgow!,Octopus Energy,"Glasgow, Scotland, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/104844-venue-sales-representative-octopus-energy,Community Solar | Energy Access | Sales and Marketing | Customer Management,False
Subsea Design Engineer - Wave Energy,"Join CorPower Ocean as a Subsea Design Engineer in Stockholm, Sweden.",CorPower Ocean,"Stockholm, Sweden",https://rejobs.org/en/renewable-energy-jobs/104572-subsea-design-engineer-wave-energy-corpower-ocean,Marine Engineering | Ocean Energy | Structural Engineering | Offshore Engineering | Subsea Control Systems,False
"Associate, Structured Finance (m/w/d)","Join Bloom Energy as an Associate in San Jose, CA, focusing on structured finance.",Bloom Energy,"San Jose, California, United States",https://rejobs.org/en/renewable-energy-jobs/105076-associate-structured-finance-mwd-bloom-energy,Energy Asset Valuation | Power Purchase Agreement | Project Finance | Stakeholder Management,False
Solar Appointment Setter,"Join Sunrun as a Solar Appointment Setter in Lancaster, California!",Sunrun,"Lancaster, California, United States",https://rejobs.org/en/renewable-energy-jobs/104174-solar-appointment-setter-sunrun,Community Solar | Photovoltaic Systems | Solar Installation | Solar O&M | Solar Resource Assessment | Energy Access,False
Community Relations Intern,"Join Arevon Energy as a Community Relations Intern in Scottsdale, Arizona. Support community engagement projects and storytelling for renewable energy initiatives.","Arevon Energy, Inc.","Scottsdale, Arizona, United States",https://rejobs.org/en/renewable-energy-jobs/104988-community-relations-intern-arevon-energy-inc,Stakeholder Management | Community Energy,False
Commissioning Engineer (m/w/d),Join BayWa r.e. as a Commissioning Engineer in Germany!,BayWa r.e.,"Freiburg, Germany",https://rejobs.org/en/renewable-energy-jobs/102764-commissioning-engineer-mwd-baywa-re,EPC Management | Photovoltaic Systems | Power Electronics | Solar O&M | Commissioning,False
"Project Manager, Customer Installations Group (m/w/d)","Join Bloom Energy as a Project Manager in San Jose, CA!",Bloom Energy,"San Jose, California, United States",https://rejobs.org/en/renewable-energy-jobs/103495-project-manager-customer-installations-group-mwd-bloom-energy,Distributed Energy Resources | Construction | Regulatory Compliance | Project Management | Fuel Cell Technology,False
Events & Marketing Intern,"Join Bloom Energy as an Events & Marketing Intern in San Jose, California!",Bloom Energy,"San Jose, California, United States",https://rejobs.org/en/renewable-energy-jobs/105073-events-marketing-intern-bloom-energy,Clean Energy Solutions | Fuel Cell Technology | Marketing and Communications,False
Automation & Control Engineer (m/w/d),"Join Voltalia as an Automation & Control Engineer in Porto, Portugal.",Voltalia,"Porto, Portugal",https://rejobs.org/en/renewable-energy-jobs/104308-automation-control-engineer-mwd-voltalia,Power Electronics,False
Debt Recovery Specialist,"Join Good Energy as a Debt Recovery Specialist in Chippenham, UK.",Good Energy,"Chippenham, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/102944-debt-recovery-specialist-good-energy,Quality Assurance | Energy Management | Financial Services | Customer Management,False
Embedded Software Developer,"Join Zaptec as an Embedded Software Developer in Stavanger, Norway.",Zaptec,"Stavanger, Norway",https://rejobs.org/en/renewable-energy-jobs/104962-embedded-software-developer-zaptec,IoT | Power Electronics | Software Development | EV Charging Infrastructure,False
Department Head (m/w/d),"Lead construction projects at Sembcorp in Salalah, Oman.",Sembcorp Industries,"Salalah, Oman",https://rejobs.org/en/renewable-energy-jobs/104012-department-head-mwd-sembcorp-industries,EPC Management | Hybrid Power Plants | Utility-Scale Solar | Wind Farms | Construction,False
Marine Operations Project Engineer - Wave Energy,Join CorPower Ocean as a Marine Operations Project Engineer in Portugal or Sweden!,CorPower Ocean,"Viana do Castelo, Portugal",https://rejobs.org/en/renewable-energy-jobs/103224-marine-operations-project-engineer-wave-energy-corpower-ocean,Ocean Energy | Marine Engineering | Offshore Engineering,False
Senior Authorised Person (m/w/d),Join RTS Wind as a Senior Authorised Person in the UK or US.,RTS Wind,United Kingdom,https://rejobs.org/en/renewable-energy-jobs/102930-senior-authorised-person-mwd-rts-wind,EPC Management | Turbine Operations | Wind O&M | Safety Management | High Voltage,False
"Director, PMO","Join Landis+Gyr as PMO Director in Alpharetta, USA, leading program management for energy solutions.",Landis+Gyr,"Alpharetta, United States",https://rejobs.org/en/renewable-energy-jobs/104747-director-pmo-landisgyr,Agile Methodologies | Energy Governance | Portfolio Management | Program Management | Stakeholder Management | Project Management,False
Senior Project Manager (m/w/d),"Join Natural Power as a Senior Project Manager in Glasgow, UK, leading digital transformation projects.",Natural Power,"Glasgow, Scotland, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/104394-senior-project-manager-mwd-natural-power,EPC Management | Energy Governance | Stakeholder Management | Project Management | Agile Methodologies,False
Backoffice Specialist,Join Photon Energy Group as a Backoffice Specialist in Prague!,Photon Energy Group,"Prague, Czech Republic",https://rejobs.org/en/renewable-energy-jobs/104950-backoffice-specialist-photon-energy-group,Energy Asset Valuation | Stakeholder Management | Project Management,False
Vessel Operator,"Join Enviva as a Vessel Operator in Chesapeake, Virginia!",Enviva,"Chesapeake, Virginia, United States",https://rejobs.org/en/renewable-energy-jobs/104391-vessel-operator-enviva,Environmental Management | Operations Management | Quality Control | Bioenergy | Safety Management,False
Wind and BESS Project Manager,"Join MET Group as a Wind and BESS Project Manager in Baar, Switzerland.",MET Group,"Baar, Switzerland",https://rejobs.org/en/renewable-energy-jobs/104098-wind-and-bess-project-manager-met-group,EPC Management | Repowering | Wind Farms | Regulatory Compliance | Risk Management | Project Management,False
Hub Operations Manager,"Join Natural Power as a Hub Operations Manager in Scotland, UK.",Natural Power,"Scotland, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/104895-hub-operations-manager-natural-power,Onshore Wind Energy | Turbine Operations | Wind O&M | Asset Management | Health & Safety | Project Management | Operations Management,False
"Director, Hardware Engineering (m/w/d)","Join Nextracker as Director of Hardware Engineering in Fremont, California!",Nextracker,"Fremont, California, United States",https://rejobs.org/en/renewable-energy-jobs/105118-director-hardware-engineering-mwd-nextracker,Battery Management Systems | EPC Management | Photovoltaic Systems | Power Electronics | Solar Installation,False
Senior Service Technician,"Join Canadian Solar as a Senior Service Technician in Nova Scotia, Canada.",Canadian Solar,"Nova Scotia, Canada",https://rejobs.org/en/renewable-energy-jobs/104682-senior-service-technician-canadian-solar,Battery Technology | Distributed Energy Resources | Power Electronics | Preventive Maintenance | Service Management | SCADA,False
EHS Specialist,"Join CS WIND Offshore as an EHS Specialist in Aalborg, Denmark.",CS WIND Offshore,"Aalborg, Denmark",https://rejobs.org/en/renewable-energy-jobs/104263-ehs-specialist-cs-wind-offshore,Environmental Management | Health & Safety | ISO Compliance | Offshore Wind Energy,False
HV Operations Manager,Join SOLV Energy as an HV Operations Manager in Central Minnesota!,"SOLV Energy, LLC","Central, Minnesota, United States",https://rejobs.org/en/renewable-energy-jobs/104898-hv-operations-manager-solv-energy-llc,Substation Engineering | Turbine Operations | Operations Management | High Voltage | Safety Management | Project Management,False
Customer Solutions Workstream Lead (m/f/d),Lead customer solutions at ENERCON in Germany. Drive innovative wind energy projects.,ENERCON,"Magdeburg, Germany",https://rejobs.org/en/renewable-energy-jobs/104669-customer-solutions-workstream-lead-mfd-enercon,Onshore Wind Energy | Wind Farms | Customer Management | Project Management | Business Development,False
Pricing and Costing Analyst,Join Good Energy as a Pricing and Costing Analyst in the UK!,Good Energy,"Chippenham, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/104942-pricing-and-costing-analyst-good-energy,Energy Economics | Stakeholder Management | Pricing Administration,False
"Sr. Manager, State Affairs","Join SEIA as a Senior Manager, State Affairs in Washington, D.C. Drive solar policy initiatives and collaborate with industry leaders.",Solar Energy Industries Association,"Washington, D.C., United States",https://rejobs.org/en/renewable-energy-jobs/104955-sr-manager-state-affairs-solar-energy-industries-association,Battery Technology | Distributed Energy Resources | Photovoltaics | Community Energy | Energy Policy | Regulatory Compliance,False
Program Manager,"Join Group14 Technologies as a Program Manager in Seattle, WA, driving battery qualification programs for automotive and consumer electronics. Enjoy competitive salary and comprehensive benefits.",Group14 Technologies,"Seattle, Washington, United States",https://rejobs.org/en/renewable-energy-jobs/104933-program-manager-group14-technologies,Clean Energy Solutions | Distributed Energy Resources | Project Management | Battery Technology,False
Field Sales Consultant,"Join Sunrun as a Field Sales Consultant in Fresno, California, and drive solar sales. Enjoy competitive pay and career growth.",Sunrun,"Fresno, California, United States",https://rejobs.org/en/renewable-energy-jobs/104173-field-sales-consultant-sunrun,Solar Installation | Energy Access | Sales and Marketing | Customer Management,False
Venue Sales Representative,"Join Octopus Energy as a Venue Sales Representative in Southampton, UK!",Octopus Energy,"Southampton, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/104842-venue-sales-representative-octopus-energy,Energy Access | Sales and Marketing | Customer Management,False
Senior Specialist - OT Cyber Security,"Join KK Wind Solutions as a Senior Specialist in OT Cyber Security in Copenhagen, Denmark.",KK Wind Solutions,"Copenhagen, Denmark",https://rejobs.org/en/renewable-energy-jobs/102745-senior-specialist-ot-cyber-security-kk-wind-solutions,Energy Resilience | Operations Management | Cybersecurity,False
Sr. Service Technician (m/w/d),"Join Canadian Solar as a Sr. Service Technician in Dallas, Texas, and contribute to renewable energy solutions. Enjoy a competitive salary and comprehensive benefits.",Canadian Solar,"Dallas, Texas, United States",https://rejobs.org/en/renewable-energy-jobs/102600-sr-service-technician-mwd-canadian-solar,Battery Management Systems | Battery Technology | Distributed Energy Resources | Power Electronics | SCADA | Solar O&M | Safety Management,False
"Mechanical Engineer, Senior or Staff","Join Antora Energy as a Senior or Staff Mechanical Engineer in San Jose, CA.",Antora Energy,"San Jose, California, United States",https://rejobs.org/en/renewable-energy-jobs/104514-mechanical-engineer-senior-or-staff-antora-energy,Battery Technology | Power Electronics | Thermal Energy | Manufacturing | Product Development | Mechanical Engineering,False
Software Developer Manager,"Lead a team of developers at Zaptec in Stavanger, Norway.",Zaptec,"Stavanger, Norway",https://rejobs.org/en/renewable-energy-jobs/103936-software-developer-manager-zaptec,Agile Methodologies | Energy Access | Project Management | Software Development | EV Charging Infrastructure,False
Maintenance Technician - Welder,"Join Antora Energy as a Maintenance Technician - Welder in Big Stone City, South Dakota. Perform high-quality welding and support plant maintenance.",Antora Energy,"Big Stone City, South Dakota, United States",https://rejobs.org/en/renewable-energy-jobs/104513-maintenance-technician-welder-antora-energy,Energy Resilience | Health & Safety | Plant Operations | Welding | Maintenance,False
Senior Mechanical Design Engineer (m/w/d),"Join CorPower Ocean as a Senior Mechanical Design Engineer in Stockholm, Sweden.",CorPower Ocean,"Stockholm, Sweden",https://rejobs.org/en/renewable-energy-jobs/104571-senior-mechanical-design-engineer-mwd-corpower-ocean,Ocean Energy | Structural Engineering | Marine Engineering | Mechanical Engineering,False
"Director, Transmission & Interconnection","Join Antora Energy as Director, Transmission & Interconnection in San Jose, CA. Lead transmission strategy for thermal energy storage projects. Enjoy competitive salary and stock options.",Antora Energy,"San Jose, California, United States",https://rejobs.org/en/renewable-energy-jobs/104508-director-transmission-interconnection-antora-energy,Battery Technology | Energy Policy | Regulatory Compliance | Transmission & Distribution Systems,False
Wind and BESS Project Manager,"Join MET Group as a Wind and BESS Development Expert in Baar, Switzerland.",MET Group,"Baar, Switzerland",https://rejobs.org/en/renewable-energy-jobs/104102-wind-and-bess-development-expert-met-group,EPC Management | Repowering | Wind Farms | Regulatory Compliance | Risk Management | Project Management,False
Finance Controller (m/w/d),"Join Sembcorp Industries as a Finance Controller in Batam, Indonesia.",Sembcorp Industries,"Batam, Indonesia",https://rejobs.org/en/renewable-energy-jobs/103136-finance-controller-mwd-sembcorp-industries,Energy Asset Valuation | Financial Services | Compliance | Accounting & Finance,False
Project Manager (m/w/d),"Join Natural Power as a Project Manager in Dublin, Ireland.",Natural Power,"Dublin, Ireland",https://rejobs.org/en/renewable-energy-jobs/104395-project-manager-mwd-natural-power,EPC Management | Environmental Management | Community Energy | Project Management | Contract Management,False
Pre-Construction Manager,"Join Scale Microgrids as a Pre-Construction Manager in Santa Monica or Oakland, CA. Drive pre-construction activities for solar and energy storage projects. Enjoy competitive pay and comprehensive benefits.",Scale Microgrids,"Santa Monica, California, United States",https://rejobs.org/en/renewable-energy-jobs/103232-pre-construction-manager-scale-microgrids,Battery Technology | EPC Management | Photovoltaics | Procurement | Project Management | Distributed Energy Resources,False
Field Sales Consultant,"Join Sunrun as a Field Sales Consultant in Downey or West Covina, California. Drive solar sales and earn up to $160,000/year.",Sunrun,"Downey, California, United States",https://rejobs.org/en/renewable-energy-jobs/104170-field-sales-consultant-sunrun,Solar Installation | Energy Access | Sales and Marketing | Customer Management,False
Project Engineer (m/w/d),"Join Goldwind as a Project Engineer in Laos, overseeing wind farm construction.",Goldwind,"Savannakhet, Laos",https://rejobs.org/en/renewable-energy-jobs/103664-project-engineer-mwd-goldwind,Blade Maintenance | Turbine Operations | Wind O&M | Offshore Wind Energy,False
Firmware Engineer - Power Systems (m/w/d),"Join Nextracker as a Firmware Engineer in Sorocaba, Brazil.",Nextracker,"Sorocaba, Brazil",https://rejobs.org/en/renewable-energy-jobs/104042-firmware-engineer-power-systems-mwd-nextracker,Hybrid Power Plants | Power Electronics | SCADA | Utility-Scale Solar,False
Service Technician,"Join Siemens Energy as a Service Technician in Lemmer, Netherlands.",Siemens Energy,"Lemmer, the Netherlands",https://rejobs.org/en/renewable-energy-jobs/104212-service-technician-mwd-siemens-energy,Turbine Operations | Wind O&M | Control Engineering | Offshore Wind Energy | Electrical Engineering | Safety Management,False
Sr PGD Technical Services Specialist - Solar & Storage Controls (m/w/d),"Join NextEra Energy as a Sr PGD Technical Services Specialist in Abilene, Texas, focusing on solar and storage controls.",NextEra Energy,"Abilene, Texas, United States",https://rejobs.org/en/renewable-energy-jobs/104459-sr-pgd-technical-services-specialist-solar-storage-controls-mwd-nextera-energy,Battery Technology | Photovoltaics | Power Electronics | SCADA | Technical Support,False
Mechanical Engineer,"Join Thea Energy as a Mechanical Engineer in Kearny, NJ!",Thea Energy,"Kearny, New Jersey, United States",https://rejobs.org/en/renewable-energy-jobs/103924-mechanical-engineer-thea-energy,Thermal Energy | Structural Engineering | Manufacturing | Mechanical Engineering,False
Policy Officer/Senior Policy Officer for Industrial Decarbonisation (m/w/d),"Join the European Environmental Bureau as a Policy Officer/Senior Policy Officer for Industrial Decarbonisation in Brussels. Advocate for sustainable industry practices and work on key policies like the Carbon Border Adjustment Mechanism. Enjoy a competitive salary, flexible teleworking options, and a dynamic work environment.",European Environmental Bureau,"Brussels, Belgium",https://rejobs.org/en/renewable-energy-jobs/102437-policy-officersenior-policy-officer-for-industrial-decarbonisation-mwd-european-environmental-bureau,Clean Energy Solutions | Carbon Accounting | Energy Policy | Environmental Impact Assessment | Advocacy & Policy,False
"Project Manager, Customer Installations Group (m/w/d)","Join Bloom Energy as a Project Manager in Newark, DE, overseeing fuel cell deployments.",Bloom Energy,"Newark, Delaware, United States",https://rejobs.org/en/renewable-energy-jobs/103496-project-manager-customer-installations-group-mwd-bloom-energy,Distributed Energy Resources | Construction | Regulatory Compliance | Project Management | Fuel Cell Technology,False
Senior Consultant - Energy Markets,"Join Veolia as a Senior Consultant in Madrid, Spain, focusing on energy markets.",Veolia,"Madrid, Spain",https://rejobs.org/en/renewable-energy-jobs/102445-senior-consultant-energy-markets-veolia,Demand Response | Energy Policy | Power Purchase Agreement | Market Analysis | Energy Economics,False
Quality Supervisor,"Join Enviva as a Quality Supervisor in Garysburg, NC, ensuring product quality in renewable energy.",Enviva,"Garysburg, North Carolina, United States",https://rejobs.org/en/renewable-energy-jobs/103433-quality-supervisor-enviva,Bioenergy | Quality Control | Quality Assurance,False
PV Commissioning Assistant,"Join Eurowind Energy as a PV Commissioning Assistant in Porto, Portugal.",Eurowind Energy,"Porto, Portugal",https://rejobs.org/en/renewable-energy-jobs/103581-pv-commissioning-assistant-eurowind-energy,Photovoltaic Systems | Power Electronics | Solar Installation | Solar O&M | SCADA,False
"Director, Engineering","Join EnergyHub as Engineering Director in the United States, leading teams to develop applications for grid-edge devices. Enjoy a flexible schedule and 100% paid medical benefits.",EnergyHub,United States,https://rejobs.org/en/renewable-energy-jobs/103965-director-engineering-energyhub,Distributed Energy Resources | Microgrids | Energy Policy | IoT,False
Senior Cost Accountant,"Join Commonwealth Fusion Systems as a Senior Cost Accountant in Devens, Massachusetts. Manage standard costs and analyze variances to support financial planning.",Commonwealth Fusion Systems,"Devens, Massachusetts, United States",https://rejobs.org/en/renewable-energy-jobs/104051-senior-cost-accountant-commonwealth-fusion-systems-cfs,Energy Auditing | Energy Economics | Financial Services | Cost Management | Accounting & Finance,False
Development Associate Director,Join Octopus Energy as Development Associate Director in London!,Octopus Energy,"London, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/103830-development-associate-director-octopus-energy,Energy Asset Valuation | Stakeholder Management | Project Management | Commercial Management,False
Mechanical Engineer,"Join Thea Energy as a Mechanical Engineer in Kearny, NJ!",Thea Energy,"Kearny, New Jersey, United States",https://rejobs.org/en/renewable-energy-jobs/103925-mechanical-engineer-thea-energy,Thermal Energy | Research and Development | Structural Engineering | Manufacturing | Mechanical Engineering,False
Product & Applications Engineer,"Join Canadian Solar as a Product & Applications Engineer in Walnut Creek, California, and support energy storage solutions. Enjoy flexible work options and growth opportunities.",Canadian Solar,"Walnut Creek, California, United States",https://rejobs.org/en/renewable-energy-jobs/103672-product-applications-engineer-canadian-solar,Battery Management Systems | Battery Technology | Behind the Meter | Power Electronics | Project Management,False
Direct Sales Consultant,"Join Sunrun as a Direct Sales Consultant in Bronx, USA!",Sunrun,"Bronx, United States",https://rejobs.org/en/renewable-energy-jobs/103644-direct-sales-consultant-sunrun,Community Solar | Photovoltaic Systems | Energy Access | Sales and Marketing | Customer Management,False
Service Delivery Manager (m/w/d),"Join Eliq as a Service Delivery Manager in Gothenburg, Sweden.",Eliq,"Gothenburg, Sweden",https://rejobs.org/en/renewable-energy-jobs/103968-service-delivery-manager-mwd-eliq,Clean Energy Solutions | Energy Analytics | Stakeholder Management | Project Management,False
Your Next Big Adventure Starts Here,"Join Aerones in Denton, Texas, as an engineer in wind energy robotics.",Aerones,"Denton, Texas, United States",https://rejobs.org/en/renewable-energy-jobs/102886-your-next-big-adventure-starts-here-aerones,Turbine Operations | Wind Farms | Wind O&M | Clean Energy Innovation | Engineering Management,False
Executive Project Engineer,"Join Goldwind as an Executive Project Engineer in Dakhla, Morocco.",Goldwind,"Dakhla, Morocco",https://rejobs.org/en/renewable-energy-jobs/103264-executive-project-engineer-goldwind,EPC Management | Onshore Wind Energy | Turbine Operations | Construction | Project Management,False
Principal Process Engineer,"Join Bloom Energy as a Principal Process Engineer in Fremont, CA.",Bloom Energy,"Fremont, California, United States",https://rejobs.org/en/renewable-energy-jobs/103121-principal-process-engineer-bloom-energy,Thermal Energy | Automated Manufacturing | System Analysis | Manufacturing,False
Senior Commercial Manager (m/w/d),Join Rondo Energy as a Senior Commercial Manager in the UAE or Saudi Arabia.,Rondo Energy,"Abu Dhabi, United Arab Emirates",https://rejobs.org/en/renewable-energy-jobs/102969-senior-commercial-manager-mwd-rondo-energy,EPC Management | Energy Asset Valuation | Stakeholder Management | Project Management | Customer Management,False
Project Coordinator (m/w/d),"Join SELCO Foundation as a Project Coordinator in Cachar, India, focusing on livelihood development.",SELCO Foundation,"Cachar, India",https://rejobs.org/en/renewable-energy-jobs/103006-project-coordinator-mwd-selco-foundation,Partnership Management | Rural Electrification | Community Energy | Energy Access,False
Intern - Events Management,Join NYSERDA as an Events Management Intern in New York! Gain hands-on experience in planning and executing events.,NYSERDA,"New York, NY, United States",https://rejobs.org/en/renewable-energy-jobs/102933-intern-events-management-nyserda,Clean Energy Innovation | Community Energy | Event Management,False
Director State Affairs (m/w/d),"Join SEIA as Director of State Affairs in Washington, D.C., Albany, or Boston. Lead solar policy initiatives and collaborate with industry stakeholders.",Solar Energy Industries Association,"Washington, D.C., United States",https://rejobs.org/en/renewable-energy-jobs/102972-director-state-affairs-mwd-solar-energy-industries-association,Photovoltaics | Community Energy | Energy Policy | Stakeholder Management | Advocacy & Policy | Regulatory Compliance,False
Head of Assembly and Testing (m/w/d),"Lead Assembly & Testing at CorPower Ocean in Stockholm, Sweden.",CorPower Ocean,"Stockholm, Sweden",https://rejobs.org/en/renewable-energy-jobs/103223-head-of-assembly-and-testing-mwd-corpower-ocean,Ocean Energy | Operations Management | Project Management,False
Project Analyst,Join Scale Microgrids as a Project Analyst in New York City! Optimize microgrid designs and support the Business Development team.,Scale Microgrids,"New York, NY, United States",https://rejobs.org/en/renewable-energy-jobs/103227-project-analyst-scale-microgrids,Distributed Energy Resources | Photovoltaics | Energy Economics | Project Management | Microgrids,False
Principal Engineer - Electrochemical,"Join Ohmium as a Principal Engineer - Electrochemical in Bengaluru, India.",Ohmium,"Bengaluru, India",https://rejobs.org/en/renewable-energy-jobs/103164-principal-engineer-electrochemical-ohmium,Electrolysis & Electrolyzers | Fuel Cell Technology | Power Electronics | Quality Control | Materials Engineering,False
Site Manager (m/w/d),Join ENERCON as a Site Manager in Germany for wind turbine projects.,ENERCON,Germany,https://rejobs.org/en/renewable-energy-jobs/102632-site-manager-mwd-enercon,EPC Management | Turbine Operations | Wind O&M | Health & Safety | Project Management | Onshore Wind Energy,False
Engineer - Field Services,"Join Ohmium as a Field Services Engineer in Bengaluru, India.",Ohmium,"Bengaluru, India",https://rejobs.org/en/renewable-energy-jobs/103165-engineer-field-services-ohmium,EPC Management | Electrolysis & Electrolyzers | Power Electronics | Maintenance | Commissioning,False
Grid Connections Manager,Join British Solar Renewables as a Grid Connections Manager in the UK!,British Solar Renewables,United Kingdom,https://rejobs.org/en/renewable-energy-jobs/102987-grid-connections-manager-british-solar-renewables,Distributed Energy Resources | EPC Management | Stakeholder Management,False
System Manager - ISCC PLUS (m/w/d),"Join ISCC as a System Manager in Cologne, Germany, focusing on traceability and certification.",ISCC - International Sustainability and Carbon Certification,"Cologne, Germany",https://rejobs.org/en/renewable-energy-jobs/103116-system-manager-iscc-plus-mwd-iscc-international-sustainability-and-carbon-certification,Bioenergy | Environmental Management | Circular Economy | Project Management,False
Customer Service Specialist (m/w/d),"Join Good Energy as a Customer Service Specialist in Chippenham, UK, and support independent generators. Enjoy a starting salary of £25,500, hybrid working, and a £500 work-from-home allowance.",Good Energy,"Chippenham, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/102943-customer-service-specialist-mwd-good-energy,Energy Access | Customer Management,False
Chief Financial Officer,"Join NYSERDA as Chief Financial Officer in New York, NY, leading financial strategies for clean energy initiatives.",NYSERDA,"New York, NY, United States",https://rejobs.org/en/renewable-energy-jobs/102931-chief-financial-officer-nyserda,Clean Energy Investment | Energy Governance | Stakeholder Management | Risk Management | Financial Services,False
Engineer - Field Services,"Join Ohmium as a Field Services Engineer in Bengaluru, India.",Ohmium,"Bengaluru, India",https://rejobs.org/en/renewable-energy-jobs/103166-engineer-field-services-ohmium,EPC Management | Electrolysis & Electrolyzers | Power Electronics | Safety Management | Maintenance,False
Senior Hardware Engineer (m/w/d),"Join Skeleton Technologies as a Senior Hardware Engineer in Lappeenranta, Tallinn, or Markranstädt.",Skeleton Technologies,"Lappeenranta, Finland",https://rejobs.org/en/renewable-energy-jobs/102902-senior-hardware-engineer-mwd-skeleton-technologies,Battery Technology | Distributed Energy Resources | Power Electronics,False
Field Sales Consultant,Join Sunrun as a Field Sales Consultant in California!,Sunrun,"Corona, California, United States",https://rejobs.org/en/renewable-energy-jobs/102548-field-sales-consultant-sunrun,Photovoltaic Systems | Solar Installation | Energy Access | Sales and Marketing | Customer Management,False
Pre-Construction Manager,"Join Scale Microgrids as a Pre-Construction Manager in Santa Monica or Oakland, CA.",Scale Microgrids,"Santa Monica, California, United States",https://rejobs.org/en/renewable-energy-jobs/103231-pre-construction-manager-scale-microgrids,Battery Technology | EPC Management | Photovoltaics | Procurement | Project Management | Distributed Energy Resources,False
O&M Bid Manager (m/f),"Join Voltalia as an O&M Bid Manager in Porto, Portugal!",Voltalia,"Porto, Portugal",https://rejobs.org/en/renewable-energy-jobs/102731-om-bid-manager-mf-voltalia,EPC Management | Energy Auditing | Project Management,False
Country Manager (m/w/d),"Join Eurowind Energy as Country Manager in Helsinki, Finland.",Eurowind Energy,"Helsinki, Finland",https://rejobs.org/en/renewable-energy-jobs/102431-country-manager-mwd-eurowind-energy,EPC Management | Photovoltaic Systems | Utility-Scale Solar | Wind Farms | Community Energy | Stakeholder Management | Business Development,False
General Counsel & Secretary,"Join NYSERDA as General Counsel & Secretary in New York, NY!",NYSERDA,"New York, NY, United States",https://rejobs.org/en/renewable-energy-jobs/102932-general-counsel-secretary-nyserda,Clean Energy Solutions | Environmental Management | Energy Policy | Regulatory Compliance,False
Installation Technicians (m/w/d),Join Nordex as an Installation Technician in Poland!,Nordex,Poland,https://rejobs.org/en/renewable-energy-jobs/102630-installation-technicians-mwd-nordex,Turbine Operations | Wind O&M | Safety Management | Onshore Wind Energy,False
Senior Project Manager,Join Matrix Renewables as a Senior Project Manager in the United States!,Matrix Renewables,United States,https://rejobs.org/en/renewable-energy-jobs/103105-senior-project-manager-matrix-renewables,EPC Management | Photovoltaic Systems | Community Energy | Safety Management | Project Management,False
"Associate Director or Director, Demonstration Projects",Lead decarbonization projects at NYSERDA in New York.,NYSERDA,"New York, NY, United States",https://rejobs.org/en/renewable-energy-jobs/102170-associate-director-or-director-demonstration-projects-nyserda,Clean Energy Solutions | Building Energy Performance | Energy Policy,False
Intern - Spring 2026 Legal Extern,Join NYSERDA as a Legal Extern in New York City for Spring 2026.,NYSERDA,"New York, NY, United States",https://rejobs.org/en/renewable-energy-jobs/102172-intern-spring-2026-legal-extern-nyserda,Environmental Management | Clean Energy Investment | Energy Governance | Energy Policy | Legal Services,False
Stringer Operator (m/w/d),"Join Silfab Solar as a Stringer Operator in Burlington, WA, and help shape the future of clean energy.",Silfab Solar,"Burlington, Washington, United States",https://rejobs.org/en/renewable-energy-jobs/102177-stringer-operator-mwd-silfab-solar,Photovoltaic Systems | Power Electronics | Solar Installation | Solar O&M | Preventive Maintenance | Manufacturing,False
Project Development Engineer,Join Ameresco as a Project Development Engineer in Minnesota or Colorado!,Ameresco,"Minnesota, United States",https://rejobs.org/en/renewable-energy-jobs/102010-project-development-engineer-ameresco,Heat Pumps | Energy Auditing | Energy Efficiency | Project Management,False
Origination Director,"Join Mainstream Renewable Power as Origination Director in Cape Town, South Africa.",Mainstream Renewable Power,"Cape Town, South Africa",https://rejobs.org/en/renewable-energy-jobs/102095-origination-director-mainstream-renewable-power,Commercial Management | Energy Policy | Energy Trading | Power Purchase Agreement | Stakeholder Management,False
Senior Controlling Specialist - Workday Financial Management (m/w/d),"Join BayWa r.e. as a Senior Controlling Specialist in Munich, Germany.",BayWa r.e.,"Munich, Germany",https://rejobs.org/en/renewable-energy-jobs/102020-senior-controlling-specialist-workday-financial-management-mwd-baywa-re,Energy Economics | Energy Policy | Project Management | Business Development,False
